update,iteration_index,adaptive_learning_rate_start,adaptive_learning_rate_end,adaptive_learning_rate_min,adaptive_learning_rate_max,kl_mean,kl_max,minibatch_count,current_log_prob_mean,old_log_prob_mean,log_ratio_mean,log_ratio_abs_max,ratio_clip_fraction,surrogate_loss,value_loss,entropy_loss,total_loss,gradient_norm,transitions,terminated_ratio,primary_fall_ratio,timeout_ratio,completed_episode_length_mean,completed_episode_return_mean,raw_action_abs_mean,raw_action_abs_p90,policy_mean_abs_mean,policy_std_mean,target_limit_violation_steps,target_limit_max_excess_rad,actual_limit_violation_steps,actual_limit_max_excess_rad
21,20,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.0519777350127697,0.10190310329198837,-40.9836540222168,-0.27794381976127625,1.2899116277694702,32256,0.026692708333333332,0.026692708333333332,0.0,41.048780487804876,-6.951193245474886,0.8189660310745239,1.6966702938079834,0.19595056772232056,0.9944286346435547,1440,1.3512283563613892,324,0.009546995162963867
22,21,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.054239701479673386,0.11785884946584702,-40.978458404541016,-0.26420852541923523,1.2477902173995972,33792,0.027994791666666668,0.027994791666666668,0.0,38.18604651162791,-7.0625594219773316,0.8229423761367798,1.694327473640442,0.20197078585624695,0.99428391456604,1451,1.2674086093902588,319,0.009880542755126953
23,22,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.05690451338887215,0.10794907808303833,-40.969154357910156,-0.2767086923122406,1.2653499841690063,35328,0.020833333333333332,0.020833333333333332,0.0,39.125,-6.907408866062762,0.8206541538238525,1.691083550453186,0.20753395557403564,0.9940922260284424,1443,1.4499757289886475,380,0.00955897569656372
24,23,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.05375005677342415,0.09762974083423615,-40.95537567138672,-0.2837633490562439,1.1884820461273193,36864,0.03125,0.03125,0.0,38.604166666666664,-6.993602768257257,0.8179695010185242,1.683500051498413,0.2075430303812027,0.9936467409133911,1439,1.405098795890808,317,0.010161757469177246
25,24,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04808146506547928,0.10559562593698502,-40.94779586791992,-0.2700682580471039,1.4790260791778564,38400,0.026041666666666668,0.026041666666666668,0.0,35.3,-6.73306441769004,0.8273646831512451,1.707912564277649,0.21614354848861694,0.9931640625,1430,1.3481296300888062,337,0.00902259349822998
26,25,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,,,0,,,,,,-0.05206665024161339,0.11504212766885757,-40.9475212097168,-0.26460474729537964,1.4535149335861206,39936,0.0234375,0.0234375,0.0,40.166666666666664,-7.395219746993648,0.822966456413269,1.7055507898330688,0.22070316970348358,0.9931319355964661,1448,1.4565646648406982,359,0.015923500061035156
27,26,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.048398297280073166,0.12411131709814072,-40.94671630859375,-0.25186073780059814,1.5821136236190796,41472,0.028645833333333332,0.028645833333333332,0.0,40.29545454545455,-7.175259435203942,0.8260810971260071,1.6995410919189453,0.22596006095409393,0.9931060075759888,1453,1.5851489305496216,343,0.007301509380340576
28,27,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,,,0,,,,,,-0.05600714683532715,0.11247999966144562,-40.938201904296875,-0.27103278040885925,1.4785218238830566,43008,0.026041666666666668,0.026041666666666668,0.0,37.025,-7.18076972049475,0.8247868418693542,1.7069181203842163,0.23446540534496307,0.9930928349494934,1443,1.8002456426620483,414,0.01273202896118164
29,28,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.049232032150030136,0.08493727445602417,-40.92652130126953,-0.29170694947242737,1.2077362537384033,44544,0.024739583333333332,0.024739583333333332,0.0,37.5,-6.985210671518978,0.8199126124382019,1.6799572706222534,0.23245030641555786,0.9925609230995178,1435,1.3778773546218872,307,0.009743928909301758
30,29,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.05139860138297081,0.08544696122407913,-40.919029235839844,-0.29330387711524963,1.2392677068710327,46080,0.027994791666666668,0.027994791666666668,0.0,38.25581395348837,-6.808806793079819,0.8294011950492859,1.7040128707885742,0.24128766357898712,0.9922718405723572,1449,1.4345026016235352,359,0.01606065034866333
31,30,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04626637324690819,0.08361268043518066,-40.90876007080078,-0.289923757314682,1.3865541219711304,47616,0.026692708333333332,0.026692708333333332,0.0,36.707317073170735,-6.938811836300826,0.8295773267745972,1.7174545526504517,0.2500867247581482,0.9920064806938171,1454,1.3033816814422607,389,0.014257609844207764
32,31,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.049165233969688416,0.10464490950107574,-40.896080017089844,-0.27168893814086914,1.324252724647522,49152,0.027994791666666668,0.027994791666666668,0.0,35.04651162790697,-6.784419660291005,0.832060694694519,1.7159210443496704,0.25111284852027893,0.9915933012962341,1454,1.67836332321167,404,0.011764347553253174
33,32,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04402563348412514,0.11170213669538498,-40.88340759277344,-0.2593907415866852,1.4781502485275269,50688,0.027994791666666668,0.027994791666666668,0.0,36.97674418604651,-6.836971541684729,0.8317041397094727,1.7114825248718262,0.25284597277641296,0.9911484718322754,1449,1.5034902095794678,392,0.013491511344909668
34,33,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,,,0,,,,,,-0.04821782186627388,0.10912545025348663,-40.865440368652344,-0.2660159170627594,1.5902389287948608,52224,0.025390625,0.025390625,0.0,35.92307692307692,-7.143733890423407,0.8312911987304688,1.7215595245361328,0.25736501812934875,0.990700364112854,1454,1.5031445026397705,414,0.008986413478851318
35,34,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04683149978518486,0.10374315083026886,-40.85396194458008,-0.2699200510978699,1.495095133781433,53760,0.026692708333333332,0.026692708333333332,0.0,39.19512195121951,-6.970728799773427,0.8346354961395264,1.724502444267273,0.26245689392089844,0.9900177717208862,1466,1.7732614278793335,438,0.01794600486755371
36,35,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,,,0,,,,,,-0.0525444857776165,0.0918581411242485,-40.84290313720703,-0.287429541349411,1.3568423986434937,55296,0.029947916666666668,0.029947916666666668,0.0,35.06521739130435,-6.920329769098241,0.8290994763374329,1.7082079648971558,0.26572921872138977,0.989876389503479,1434,1.5516425371170044,427,0.012046754360198975
37,36,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04759567603468895,0.07743027061223984,-40.83119583129883,-0.2968149781227112,1.2730891704559326,56832,0.027994791666666668,0.027994791666666668,0.0,35.906976744186046,-6.879860954090607,0.8419450521469116,1.7314954996109009,0.27130287885665894,0.9892714619636536,1457,1.4682575464248657,425,0.009684979915618896
38,37,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.05094323679804802,0.09345265477895737,-40.8264274597168,-0.2841019332408905,1.213870882987976,58368,0.026041666666666668,0.026041666666666668,0.0,33.7,-6.484443101733923,0.8347115516662598,1.7253953218460083,0.2718246281147003,0.9890608191490173,1446,1.5017247200012207,446,0.013820290565490723
39,38,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.048772770911455154,0.08107048273086548,-40.82415008544922,-0.2942955493927002,1.2684301137924194,59904,0.031901041666666664,0.031901041666666664,0.0,35.775510204081634,-6.797785825972654,0.8385761976242065,1.724537968635559,0.28418946266174316,0.9889550805091858,1459,1.5087800025939941,436,0.01374739408493042
40,39,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.04735955968499184,0.07592154294252396,-40.8193473815918,-0.2979927957057953,1.2813538312911987,61440,0.030598958333333332,0.030598958333333332,0.0,34.04255319148936,-6.694191550117858,0.8307508826255798,1.7131075859069824,0.2711881995201111,0.9889044165611267,1458,1.5563358068466187,413,0.012163341045379639
41,40,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04452496021986008,0.1025245189666748,-40.81301498413086,-0.2685045897960663,1.4736531972885132,62976,0.025390625,0.025390625,0.0,34.282051282051285,-6.681098728118798,0.8317510485649109,1.7164313793182373,0.28031113743782043,0.9886125326156616,1452,1.391228199005127,442,0.011679589748382568
42,41,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.04746552184224129,0.10043493658304214,-40.80760955810547,-0.2734914720058441,1.6710102558135986,64512,0.030598958333333332,0.030598958333333332,0.0,37.38297872340426,-7.1271643580908455,0.8393986225128174,1.7281969785690308,0.2794542610645294,0.9884909987449646,1466,1.4922815561294556,437,0.014039397239685059
43,42,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04329497367143631,0.13102374970912933,-40.79484939575195,-0.2386300414800644,1.9344648122787476,66048,0.029947916666666668,0.029947916666666668,0.0,33.369565217391305,-6.935625632871752,0.8377946019172668,1.7236069440841675,0.2859536409378052,0.9882393479347229,1487,1.6402904987335205,441,0.009811818599700928
44,43,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,,,0,,,,,,-0.04878528043627739,0.0912700891494751,-40.77334976196289,-0.28370201587677,1.4569193124771118,67584,0.028645833333333332,0.028645833333333332,0.0,30.59090909090909,-6.5258011093464745,0.8435851335525513,1.7455676794052124,0.289442777633667,0.987556517124176,1453,1.5140355825424194,455,0.013903141021728516
45,44,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04558364301919937,0.07873063534498215,-40.76395797729492,-0.29296472668647766,1.3478916883468628,69120,0.035807291666666664,0.035807291666666664,0.0,31.836363636363636,-6.624381376396526,0.8388296365737915,1.7313886880874634,0.28743433952331543,0.9869118332862854,1468,1.7266535758972168,433,0.006903171539306641
46,45,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.04315010830760002,0.11570793390274048,-40.762725830078125,-0.25354400277137756,1.5612525939941406,70656,0.030598958333333332,0.030598958333333332,0.0,32.8936170212766,-6.673318767116425,0.8428531289100647,1.7475985288619995,0.30101802945137024,0.9868471026420593,1464,1.5174760818481445,535,0.009908735752105713
47,46,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04553726315498352,0.07840310037136078,-40.761329650878906,-0.2932248115539551,1.321148157119751,72192,0.03125,0.03125,0.0,30.833333333333332,-6.563528592114647,0.845153272151947,1.7360787391662598,0.29954639077186584,0.986847460269928,1477,1.6327898502349854,488,0.015524744987487793
48,47,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04366633668541908,0.08623089641332626,-40.75529861450195,-0.2834778130054474,1.3491610288619995,73728,0.033203125,0.033203125,0.0,30.745098039215687,-6.273204068716831,0.8412579894065857,1.7328919172286987,0.3003164827823639,0.9867257475852966,1469,1.5767858028411865,435,0.006876707077026367
49,48,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.0394093282520771,0.118630550801754,-40.75148010253906,-0.24679064750671387,1.5638513565063477,75264,0.034505208333333336,0.034505208333333336,0.0,30.39622641509434,-6.483194843305733,0.8539116382598877,1.757080078125,0.31251630187034607,0.9864333271980286,1486,1.6911193132400513,519,0.010670721530914307
50,49,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04381348565220833,0.07665733247995377,-40.75423049926758,-0.29319003224372864,1.3283556699752808,76800,0.033203125,0.033203125,0.0,30.0,-6.435405074030747,0.8471830487251282,1.7451900243759155,0.30449098348617554,0.9865184426307678,1490,1.812156081199646,480,0.00917881727218628
51,50,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.043345093727111816,0.07615397870540619,-40.74949264526367,-0.29318708181381226,1.3520851135253906,78336,0.031901041666666664,0.031901041666666664,0.0,28.571428571428573,-6.2422317902166,0.8479854464530945,1.7526756525039673,0.30857497453689575,0.9865856170654297,1473,1.685054898262024,424,0.008970260620117188
52,51,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.044975556433200836,0.09542043507099152,-40.73677444458008,-0.27544933557510376,1.3245936632156372,79872,0.035807291666666664,0.035807291666666664,0.0,30.054545454545455,-6.323933949210424,0.854203999042511,1.7497566938400269,0.3181169927120209,0.986166775226593,1472,1.7204169034957886,493,0.01149064302444458
