update,raw_action_abs_p95,raw_action_abs_p99,raw_action_abs_max,policy_mean_abs_p95,policy_mean_abs_p99,policy_mean_abs_max,policy_std_mean,target_limit_violation_steps,target_limit_max_excess_rad,actual_limit_violation_steps,actual_limit_max_excess_rad,joint_torque_abs_max,contact_sensor_force_max_N,contact_sensor_contact_elements,robot_ground_contact_steps_proxy,primary_fall_ratio,timeout_ratio,terminated_ratio,ratio_clip_fraction,adaptive_learning_rate_end,kl_mean,gradient_norm,entropy_loss,value_loss,surrogate_loss,velocity_tracking_error_mean,velocity_tracking_mean
31,0.4543571174144745,0.6057690382003784,0.9851922988891602,0.22197775542736053,0.2978684902191162,0.5374162793159485,0.20256778597831726,31,0.08358237147331238,104,0.004236280918121338,48.452903747558594,1061.704345703125,3218,3218,0.01953125,0.0,0.01953125,0.2578125,1e-05,0.01553423423320055,3.962027072906494,5.165339946746826,0.0675007551908493,-0.057222116738557816,0.8802928924560547,0.20998774468898773
32,0.45598292350769043,0.5963848829269409,0.9653140902519226,0.2251686304807663,0.30089041590690613,0.47965294122695923,0.20247496664524078,33,0.14497581124305725,168,0.005169868469238281,49.407772064208984,1197.1392822265625,3178,3178,0.021484375,0.0,0.021484375,0.27851563692092896,1e-05,0.017402738332748413,3.9319043159484863,5.167746067047119,0.06365801393985748,-0.05729850009083748,0.9548293948173523,0.17861269414424896
33,0.4503220319747925,0.5928183794021606,0.9794094562530518,0.22324348986148834,0.29879942536354065,0.5039544105529785,0.20252223312854767,26,0.09135541319847107,132,0.003606736660003662,51.45051193237305,1154.1331787109375,3195,3195,0.020182291666666668,0.0,0.020182291666666668,0.28437501192092896,1e-05,0.018368186429142952,3.9228885173797607,5.157310962677002,0.06653892248868942,-0.05631978437304497,0.8693422079086304,0.23036253452301025
34,0.4563489258289337,0.5954325199127197,1.2383064031600952,0.22440898418426514,0.30166712403297424,0.4891881048679352,0.20260410010814667,30,0.10518354177474976,192,0.0038679838180541992,46.05085372924805,1108.7626953125,3145,3145,0.021484375,0.0,0.021484375,0.26875001192092896,1e-05,0.016235435381531715,3.835336685180664,5.145605564117432,0.05889272317290306,-0.059181343764066696,0.8660197257995605,0.2154473066329956
35,0.45375436544418335,0.6004201173782349,1.0240579843521118,0.21931667625904083,0.295463889837265,0.4863845109939575,0.20268560945987701,37,0.08653992414474487,155,0.005374789237976074,50.83143997192383,1029.08447265625,3169,3169,0.017578125,0.0,0.017578125,0.27291667461395264,1e-05,0.016409769654273987,3.9331185817718506,5.137983798980713,0.06202860549092293,-0.057677771896123886,0.849945068359375,0.2338302582502365
36,0.45841678977012634,0.600879430770874,1.0243289470672607,0.2280062586069107,0.3027731478214264,0.48144397139549255,0.20272095501422882,27,0.10322660207748413,206,0.004332304000854492,51.96495056152344,1042.55517578125,3125,3125,0.020833333333333332,0.0,0.020833333333333332,0.2679687738418579,1e-05,0.01567755825817585,4.045043468475342,5.131097316741943,0.05680439621210098,-0.05612694099545479,0.9255236983299255,0.198170006275177
37,0.45373353362083435,0.6019525527954102,1.0347188711166382,0.22583159804344177,0.3030279576778412,0.4775179624557495,0.20278531312942505,33,0.08006885647773743,170,0.003631412982940674,60.11958312988281,1028.448486328125,3119,3119,0.021484375,0.0,0.021484375,0.27031251788139343,1e-05,0.016252167522907257,3.8705620765686035,5.1221232414245605,0.05853266268968582,-0.05646643787622452,0.8613325953483582,0.22706584632396698
38,0.4553973972797394,0.5973911881446838,1.104018211364746,0.22504965960979462,0.30113685131073,0.4802923798561096,0.20284336805343628,35,0.18487539887428284,176,0.003125429153442383,45.802188873291016,988.17431640625,3125,3125,0.021484375,0.0,0.021484375,0.28919273614883423,1e-05,0.01700102910399437,3.7812340259552,5.1202921867370605,0.049990952014923096,-0.06016174703836441,0.9281210899353027,0.1669391244649887
39,0.45594123005867004,0.5963893532752991,1.071256160736084,0.22780625522136688,0.3041327893733978,0.5545060634613037,0.2028091698884964,26,0.10179910063743591,163,0.004294753074645996,48.89320755004883,1148.0947265625,3154,3154,0.021484375,0.0,0.021484375,0.27812501788139343,1e-05,0.01712573878467083,3.809164524078369,5.124046325683594,0.05159217119216919,-0.06103837490081787,0.9481619596481323,0.15242823958396912
40,0.45476698875427246,0.5934956073760986,1.0373916625976562,0.22508472204208374,0.3026359975337982,0.5917900800704956,0.20280995965003967,30,0.17076849937438965,140,0.003392040729522705,46.2515869140625,984.2655639648438,3155,3155,0.021484375,0.0,0.021484375,0.2949219048023224,1e-05,0.018875710666179657,3.89160418510437,5.114746570587158,0.05355674773454666,-0.06144462898373604,0.9559125900268555,0.172592431306839
41,0.45245739817619324,0.5982831120491028,0.9476550817489624,0.22480788826942444,0.2984549105167389,0.5217055082321167,0.2029121220111847,25,0.08201998472213745,155,0.003698408603668213,52.330745697021484,1073.7303466796875,3152,3152,0.020182291666666668,0.0,0.020182291666666668,0.28723961114883423,1e-05,0.018240828067064285,3.778205633163452,5.104091167449951,0.051264166831970215,-0.060040850192308426,0.8599287867546082,0.25662434101104736
42,0.4559197425842285,0.6025000214576721,0.987842321395874,0.22344930469989777,0.29990053176879883,0.4543728232383728,0.2029704451560974,26,0.06741759181022644,223,0.00549393892288208,59.158172607421875,1161.2032470703125,3098,3098,0.020833333333333332,0.0,0.020833333333333332,0.2880208492279053,1e-05,0.018413595855236053,3.995567798614502,5.093555450439453,0.05139809846878052,-0.05680352449417114,0.816358745098114,0.23119699954986572
43,0.4553261697292328,0.6017136573791504,0.9614993333816528,0.22480598092079163,0.30369624495506287,0.49223318696022034,0.2030469924211502,35,0.14914467930793762,209,0.005102038383483887,48.25092697143555,944.37060546875,3206,3206,0.020833333333333332,0.0,0.020833333333333332,0.29127606749534607,1e-05,0.017353445291519165,3.836043119430542,5.093782901763916,0.04785110801458359,-0.058141499757766724,0.8264094591140747,0.25642362236976624
44,0.4544566869735718,0.6021887063980103,1.0112662315368652,0.22182704508304596,0.29724588990211487,0.4893140196800232,0.20299884676933289,33,0.14428415894508362,179,0.006149351596832275,49.760921478271484,1285.246337890625,3148,3148,0.020182291666666668,0.0,0.020182291666666668,0.2606770992279053,1e-05,0.01557784155011177,3.950684070587158,5.098269462585449,0.052497830241918564,-0.0576128326356411,0.8388470411300659,0.24814705550670624
