controller,action_mode,case_id,control_step,physics_step,contact_time_s,link_a,link_b,contact_force_N,contact_points,self_collision,primary_fall,classification
zero,legacy_raw,4,10,40,0.2,right_ankle_roll_link,unconfirmed,178.26007080078125,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,10,40,0.2,left_ankle_roll_link,unconfirmed,177.72789001464844,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,10,40,0.2,right_ankle_roll_link,unconfirmed,178.31451416015625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,10,40,0.2,left_ankle_roll_link,unconfirmed,177.67459106445312,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,10,40,0.2,right_ankle_roll_link,unconfirmed,178.17205810546875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,10,40,0.2,left_ankle_roll_link,unconfirmed,177.7283477783203,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,10,40,0.2,right_ankle_roll_link,unconfirmed,178.18043518066406,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,11,44,0.22,left_ankle_roll_link,unconfirmed,172.9342803955078,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,11,44,0.22,right_ankle_roll_link,unconfirmed,173.3651580810547,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,11,44,0.22,left_ankle_roll_link,unconfirmed,173.0363006591797,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,11,44,0.22,right_ankle_roll_link,unconfirmed,173.64926147460938,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,11,44,0.22,left_ankle_roll_link,unconfirmed,172.96237182617188,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,11,44,0.22,right_ankle_roll_link,unconfirmed,173.42642211914062,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,11,44,0.22,left_ankle_roll_link,unconfirmed,173.070556640625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,11,44,0.22,right_ankle_roll_link,unconfirmed,173.44024658203125,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,11,44,0.22,left_ankle_roll_link,unconfirmed,172.89117431640625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,11,44,0.22,right_ankle_roll_link,unconfirmed,173.545166015625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,11,44,0.22,left_ankle_roll_link,unconfirmed,173.03704833984375,[],False,False,unconfirmed_gpu_filter
