update,raw_action_abs_p95,raw_action_abs_p99,raw_action_abs_max,policy_mean_abs_p95,policy_mean_abs_p99,policy_mean_abs_max,policy_std_mean,target_limit_violation_steps,target_limit_max_excess_rad,actual_limit_violation_steps,actual_limit_max_excess_rad,joint_torque_abs_max,contact_sensor_force_max_N,contact_sensor_contact_elements,robot_ground_contact_steps_proxy,primary_fall_ratio,timeout_ratio,terminated_ratio,ratio_clip_fraction,adaptive_learning_rate_end,kl_mean,gradient_norm,entropy_loss,value_loss,surrogate_loss,velocity_tracking_error_mean,velocity_tracking_mean,ratio_metrics_status
28,0.45161768794059753,0.5999456644058228,0.9907407760620117,0.21987111866474152,0.28471919894218445,0.46207836270332336,0.20325636863708496,28,0.09486183524131775,163,0.004704952239990234,50.980098724365234,1056.7227783203125,3020,3020,0.020833333333333332,0.0,0.020833333333333332,,1e-05,0.01634841039776802,3.9661121368408203,5.054171562194824,0.07303129881620407,-0.05746349319815636,0.9545881748199463,0.1984737366437912,MISSING_BROADCASTED_DIAGNOSTIC
29,0.45870548486709595,0.6067399382591248,1.0679986476898193,0.22355523705482483,0.29087117314338684,0.5555571913719177,0.20332568883895874,31,0.06330370903015137,162,0.005046665668487549,52.47306823730469,924.5936889648438,3115,3115,0.020182291666666668,0.0,0.020182291666666668,,1e-05,0.01664910279214382,3.890772581100464,5.053337097167969,0.0679870992898941,-0.05898895487189293,0.9926033020019531,0.18560191988945007,MISSING_BROADCASTED_DIAGNOSTIC
30,0.4571009874343872,0.599223256111145,1.0874011516571045,0.2204820066690445,0.2895614504814148,0.48998013138771057,0.20328420400619507,25,0.07258117198944092,203,0.00520700216293335,46.180084228515625,909.5327758789062,3019,3019,0.018880208333333332,0.0,0.018880208333333332,,1e-05,0.01621946319937706,3.9437789916992188,5.0584025382995605,0.07108103483915329,-0.05976007133722305,0.9973769187927246,0.16932031512260437,MISSING_BROADCASTED_DIAGNOSTIC
31,0.45870068669319153,0.6064261794090271,1.0040662288665771,0.2249646633863449,0.29523029923439026,0.5708441734313965,0.2032528966665268,46,0.12631911039352417,141,0.004094719886779785,56.96731948852539,988.72412109375,3102,3102,0.026692708333333332,0.0,0.026692708333333332,,1e-05,0.01783134415745735,3.8118484020233154,5.062426567077637,0.06761379539966583,-0.061352528631687164,0.9946736097335815,0.1836518496274948,MISSING_BROADCASTED_DIAGNOSTIC
32,0.45715317130088806,0.6087300777435303,0.9593814611434937,0.22663642466068268,0.29745450615882874,0.5453864932060242,0.20324786007404327,39,0.13410601019859314,127,0.005089402198791504,48.322975158691406,695.2886352539062,3199,3199,0.014322916666666666,0.0,0.014322916666666666,,1e-05,0.016431603580713272,4.094264984130859,5.059607982635498,0.08269093930721283,-0.05472970008850098,0.9155210852622986,0.19668476283550262,MISSING_BROADCASTED_DIAGNOSTIC
33,0.4581202566623688,0.6014296412467957,1.0739401578903198,0.22386842966079712,0.29491376876831055,0.46772441267967224,0.20327109098434448,38,0.11438268423080444,124,0.005025684833526611,50.77468490600586,922.4046020507812,3089,3089,0.024088541666666668,0.0,0.024088541666666668,,1e-05,0.016467833891510963,4.072933673858643,5.0461835861206055,0.06316908448934555,-0.05947805196046829,0.9094907641410828,0.24563178420066833,MISSING_BROADCASTED_DIAGNOSTIC
34,0.4602402150630951,0.6049368977546692,1.029350757598877,0.2256786972284317,0.29719263315200806,0.4971618950366974,0.20344017446041107,22,0.09004652500152588,184,0.005135536193847656,50.288429260253906,1140.72998046875,3119,3119,0.014322916666666666,0.0,0.014322916666666666,,1e-05,0.018695799633860588,3.9730801582336426,5.030482769012451,0.061854805797338486,-0.05972091481089592,0.9886330366134644,0.14764904975891113,MISSING_BROADCASTED_DIAGNOSTIC
35,0.4601728022098541,0.6013514995574951,1.0069578886032104,0.2235678881406784,0.29623234272003174,0.4839414358139038,0.20349134504795074,35,0.13109523057937622,166,0.00643080472946167,48.69803237915039,1071.517333984375,3061,3061,0.025390625,0.0,0.025390625,,1e-05,0.017303841188549995,4.051351070404053,5.033347129821777,0.06279247999191284,-0.056641966104507446,0.9856047630310059,0.21962718665599823,MISSING_BROADCASTED_DIAGNOSTIC
36,0.458260178565979,0.6061821579933167,1.0176348686218262,0.227322518825531,0.29941776394844055,0.5175488591194153,0.20341356098651886,33,0.15009504556655884,191,0.003718078136444092,55.211238861083984,886.4054565429688,3076,3076,0.014322916666666666,0.0,0.014322916666666666,,1e-05,0.016437599435448647,4.006534576416016,5.04358434677124,0.05482235178351402,-0.05857202410697937,0.9522521495819092,0.1992768496274948,MISSING_BROADCASTED_DIAGNOSTIC
37,0.4607512652873993,0.6032251119613647,1.1143189668655396,0.22442030906677246,0.2977346181869507,0.4620143175125122,0.20335647463798523,47,0.14322888851165771,147,0.005125164985656738,56.85895538330078,1013.555908203125,3130,3130,0.026692708333333332,0.0,0.026692708333333332,,1e-05,0.015821654349565506,4.029238224029541,5.050610065460205,0.053605493158102036,-0.06127864122390747,0.903079628944397,0.2384018898010254,MISSING_BROADCASTED_DIAGNOSTIC
38,0.4554584324359894,0.6013799905776978,0.99189293384552,0.22440551221370697,0.29765692353248596,0.4910309910774231,0.20332090556621552,33,0.09774014353752136,200,0.004447221755981445,49.945011138916016,931.115234375,3135,3135,0.022135416666666668,0.0,0.022135416666666668,,1e-05,0.018176427111029625,3.8915531635284424,5.053701877593994,0.06211625412106514,-0.06029648706316948,0.9802325963973999,0.17007064819335938,MISSING_BROADCASTED_DIAGNOSTIC
39,0.45687136054039,0.6053972840309143,1.152700424194336,0.2228686362504959,0.2961631715297699,0.4993095397949219,0.20330946147441864,32,0.18385478854179382,83,0.004567980766296387,49.28605651855469,1198.11669921875,3062,3062,0.018880208333333332,0.0,0.018880208333333332,,1e-05,0.018836580216884613,3.9245240688323975,5.042984962463379,0.0565539188683033,-0.059460658580064774,0.9200624227523804,0.17774157226085663,MISSING_BROADCASTED_DIAGNOSTIC
40,0.45665600895881653,0.6035115718841553,1.0285255908966064,0.22488082945346832,0.29688289761543274,0.4757061004638672,0.20346564054489136,36,0.16258764266967773,154,0.003982722759246826,47.881614685058594,754.26513671875,3033,3033,0.020182291666666668,0.0,0.020182291666666668,,1e-05,0.016670797020196915,3.9355828762054443,5.019193172454834,0.06190090253949165,-0.060003846883773804,0.9536155462265015,0.2032630443572998,MISSING_BROADCASTED_DIAGNOSTIC
41,0.45845696330070496,0.6022093296051025,1.0041515827178955,0.22425144910812378,0.29684898257255554,0.47810497879981995,0.20363441109657288,36,0.10429421067237854,164,0.0038300156593322754,53.876983642578125,918.9592895507812,3096,3096,0.0234375,0.0,0.0234375,,1e-05,0.016219614073634148,4.007294178009033,5.0075812339782715,0.06448802351951599,-0.059655915945768356,0.9062638282775879,0.2221757173538208,MISSING_BROADCASTED_DIAGNOSTIC
42,0.4607119858264923,0.6066391468048096,1.00742506980896,0.22487978637218475,0.29815176129341125,0.5451126098632812,0.20364858210086823,32,0.10122206807136536,148,0.005910098552703857,44.8758430480957,742.88330078125,3097,3097,0.016276041666666668,0.0,0.016276041666666668,,1e-05,0.017020119354128838,3.9627628326416016,5.007951259613037,0.05255831032991409,-0.05990935489535332,0.8883843421936035,0.2269333004951477,MISSING_BROADCASTED_DIAGNOSTIC
43,0.4630092680454254,0.6084123849868774,1.0025780200958252,0.22637899219989777,0.2985152304172516,0.4980334937572479,0.20364134013652802,53,0.17441284656524658,161,0.00490957498550415,51.02656555175781,1193.073974609375,3062,3062,0.021484375,0.0,0.021484375,,1e-05,0.017882483080029488,4.042195796966553,5.006910800933838,0.0678705945611,-0.05704629421234131,0.9361485242843628,0.23298394680023193,MISSING_BROADCASTED_DIAGNOSTIC
44,0.4653647243976593,0.6062004566192627,0.9720653891563416,0.22942908108234406,0.3017643988132477,0.5014172196388245,0.20367980003356934,33,0.12141185998916626,160,0.005629003047943115,51.051353454589844,1253.9134521484375,3109,3109,0.021484375,0.0,0.021484375,,1e-05,0.015995308756828308,4.012535095214844,5.002362251281738,0.04806027561426163,-0.05783196911215782,0.936794638633728,0.1826130598783493,MISSING_BROADCASTED_DIAGNOSTIC
45,0.4597979485988617,0.6068068742752075,0.971106767654419,0.22976109385490417,0.30217745900154114,0.5054143071174622,0.203679621219635,42,0.15019679069519043,169,0.004415750503540039,48.20852279663086,1033.9127197265625,3146,3146,0.020182291666666668,0.0,0.020182291666666668,,1e-05,0.015914825722575188,3.9838948249816895,4.998648643493652,0.05366534739732742,-0.05766906216740608,0.9959836006164551,0.1496480107307434,MISSING_BROADCASTED_DIAGNOSTIC
46,0.45567557215690613,0.6021629571914673,1.0620712041854858,0.2290455549955368,0.30112308263778687,0.6310622096061707,0.20375674962997437,32,0.10038542747497559,148,0.0038834214210510254,53.386226654052734,1127.135986328125,3171,3171,0.020833333333333332,0.0,0.020833333333333332,,1e-05,0.015628881752490997,3.9167675971984863,4.984500885009766,0.05580560117959976,-0.059082258492708206,0.9895586967468262,0.18405744433403015,MISSING_BROADCASTED_DIAGNOSTIC
47,0.45843684673309326,0.6063962578773499,1.0317459106445312,0.2309892326593399,0.3061005473136902,0.5142555236816406,0.20385272800922394,29,0.12991419434547424,167,0.0059285759925842285,47.598270416259766,1351.1053466796875,3116,3116,0.018880208333333332,0.0,0.018880208333333332,,1e-05,0.016821417957544327,3.919179677963257,4.9736857414245605,0.05853176862001419,-0.058966320008039474,0.9581877589225769,0.1965995728969574,MISSING_BROADCASTED_DIAGNOSTIC
48,0.46297362446784973,0.6075045466423035,1.0616962909698486,0.23203910887241364,0.30626848340034485,0.49431902170181274,0.20393191277980804,32,0.08689340949058533,99,0.006174743175506592,46.585540771484375,1192.016357421875,3083,3083,0.022135416666666668,0.0,0.022135416666666668,,1e-05,0.01719527691602707,3.9318573474884033,4.957780361175537,0.06148120388388634,-0.05617380142211914,0.9501041173934937,0.19101625680923462,MISSING_BROADCASTED_DIAGNOSTIC
49,0.4621410667896271,0.6048053503036499,1.0226826667785645,0.22954846918582916,0.3025055229663849,0.5097828507423401,0.20406056940555573,28,0.0849103331565857,157,0.004038751125335693,51.84003448486328,1224.0230712890625,3065,3065,0.020182291666666668,0.0,0.020182291666666668,,1e-05,0.017674561589956284,3.91028094291687,4.952002048492432,0.06357096880674362,-0.057596560567617416,0.9271197319030762,0.2275063693523407,MISSING_BROADCASTED_DIAGNOSTIC
50,0.4602489471435547,0.6111417412757874,0.9872570633888245,0.23160430788993835,0.31033357977867126,0.5119317770004272,0.2040313184261322,26,0.13831931352615356,129,0.004453897476196289,46.5790901184082,780.45166015625,3105,3105,0.020182291666666668,0.0,0.020182291666666668,,1e-05,0.018178682774305344,3.813129186630249,4.959242820739746,0.05014960095286369,-0.05958814546465874,0.9546806216239929,0.18883833289146423,MISSING_BROADCASTED_DIAGNOSTIC
51,0.45813360810279846,0.6045668125152588,1.2244263887405396,0.23015116155147552,0.3063306212425232,0.471958726644516,0.20398014783859253,35,0.1095876395702362,166,0.004174351692199707,56.665016174316406,1180.7332763671875,3099,3099,0.018880208333333332,0.0,0.018880208333333332,,1e-05,0.017688758671283722,3.919485092163086,4.965333461761475,0.05005726218223572,-0.058771200478076935,0.9982409477233887,0.1523945927619934,MISSING_BROADCASTED_DIAGNOSTIC
52,0.4635297656059265,0.6033672094345093,1.110108733177185,0.23624813556671143,0.3121330142021179,0.5204575657844543,0.20394204556941986,34,0.12701764702796936,145,0.002408623695373535,46.774383544921875,1135.2841796875,3232,3232,0.022135416666666668,0.0,0.022135416666666668,,1e-05,0.017220593988895416,3.967203140258789,4.960731029510498,0.06193831190466881,-0.05693122372031212,0.9149866104125977,0.19526557624340057,MISSING_BROADCASTED_DIAGNOSTIC
