run,episode_id,control_step,physics_step,sim_time,link,sensor_id,robot_id,current_force_N,history_max_N,terminal_control_step,root_height,geometry_min_z,contact_object,contact_points,contact_separations,evidence,first_terminal_base_contact
zero_isolation,2,12,48,0.24,right_wrist_yaw_link,14,23,12.848006248474121,12.848006248474121,12,0.7767767310142517,0.5450829975306988,/World/envs/env_2/Robot/right_hip_roll_link,"[[[1.4625415802001953, -0.8098498582839966, 0.6207534670829773]]]",[[[0.0003311559557914734]]],PhysX filtered contact matrix,True
zero_isolation,2,12,48,0.24,right_hip_roll_link,25,17,12.848006248474121,12.848006248474121,12,0.7767767310142517,0.3744588606059551,/World/envs/env_2/Robot/right_wrist_yaw_link,"[[[1.4625415802001953, -0.8098498582839966, 0.6207534670829773]]]",[[[0.0003311559557914734]]],PhysX filtered contact matrix,True
nominal_verified,0,12,45,0.225,left_wrist_yaw_link,7,22,30.801990509033203,30.801990509033203,12,0.7774075269699097,0.5604705326259136,/World/envs/env_0/Robot/left_hip_roll_link,"[[[0.08139482140541077, 0.1553386151790619, 0.6321757435798645]]]",[[[0.0010103285312652588]]],PhysX filtered contact matrix,True
nominal_verified,0,12,45,0.225,right_wrist_yaw_link,14,23,12.174522399902344,12.174522399902344,12,0.7774075269699097,0.56020612642169,/World/envs/env_0/Robot/right_hip_roll_link,"[[[0.0815269872546196, -0.15520653128623962, 0.6321356892585754]]]",[[[0.0014821290969848633]]],PhysX filtered contact matrix,True
nominal_verified,0,12,45,0.225,left_hip_roll_link,19,16,30.801990509033203,30.801990509033203,12,0.7774075269699097,0.39115942642092705,/World/envs/env_0/Robot/left_wrist_yaw_link,"[[[0.08139482140541077, 0.1553386151790619, 0.6321757435798645]]]",[[[0.0010103285312652588]]],PhysX filtered contact matrix,True
nominal_verified,0,12,45,0.225,right_hip_roll_link,25,17,12.174522399902344,12.174522399902344,12,0.7774075269699097,0.3910430185496807,/World/envs/env_0/Robot/right_wrist_yaw_link,"[[[0.0815269872546196, -0.15520653128623962, 0.6321356892585754]]]",[[[0.0014821290969848633]]],PhysX filtered contact matrix,True
final_pairs,7,3,12,0.06,right_wrist_yaw_link,14,23,478.1178894042969,478.1178894042969,3,0.8054917454719543,0.5942979566752911,/World/envs/env_7/Robot/right_hip_roll_link,"[[[-3.216670274734497, 1.514664649963379, 0.6630089282989502]]]",[[[0.002977147698402405]]],PhysX filtered contact matrix,True
final_pairs,7,3,12,0.06,right_hip_roll_link,25,17,478.1178894042969,478.1178894042969,3,0.8054917454719543,0.4094590060412884,/World/envs/env_7/Robot/right_wrist_yaw_link,"[[[-3.216670274734497, 1.514664649963379, 0.6630089282989502]]]",[[[0.002977147698402405]]],PhysX filtered contact matrix,True
final_pairs,1,4,15,0.075,right_wrist_yaw_link,14,23,286.49713134765625,286.49713134765625,4,0.8014673590660095,0.587513517588377,/World/envs/env_1/Robot/right_hip_roll_link,"[[[3.3054234981536865, 1.0162616968154907, 0.6566106081008911]]]",[[[-3.857910633087158e-05]]],PhysX filtered contact matrix,True
final_pairs,1,4,15,0.075,right_hip_roll_link,25,17,286.49713134765625,286.49713134765625,4,0.8014673590660095,0.4113619141280651,/World/envs/env_1/Robot/right_wrist_yaw_link,"[[[3.3054234981536865, 1.0162616968154907, 0.6566106081008911]]]",[[[-3.857910633087158e-05]]],PhysX filtered contact matrix,True
